link,name,quote,rank,score
https://movie.douban.com/subject/1291858/,鬼子来了,对敌人的仁慈，就是对自己残忍。,41,9.3
https://movie.douban.com/subject/1929463/,少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,42,9.1
https://movie.douban.com/subject/1305487/,猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,43,9.1
https://movie.douban.com/subject/3742360/,让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,44,9.0
https://movie.douban.com/subject/1299398/,大话西游之月光宝盒,旷古烁今。,45,9.0
https://movie.douban.com/subject/1296736/,钢琴家,音乐能化解仇恨。,46,9.3
https://movie.douban.com/subject/1291583/,天空之城,对天空的追逐，永不停止。 ,47,9.2
https://movie.douban.com/subject/25958717/,海蒂和爷爷,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,48,9.3
https://movie.douban.com/subject/1291572/,指环王2：双塔奇兵,承前启后的史诗篇章。,49,9.2
https://movie.douban.com/subject/1298624/,闻香识女人,史上最美的探戈。,50,9.1
https://movie.douban.com/subject/21360417/,恐怖直播,恐怖分子的“秋菊打官司”。,151,8.7
https://movie.douban.com/subject/10463953/,模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,152,8.8
https://movie.douban.com/subject/1303037/,喜宴,中国家庭的喜怒哀乐忍。,153,9.0
https://movie.douban.com/subject/26325320/,血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,154,8.7
https://movie.douban.com/subject/1295399/,七武士,时代悲歌。,155,9.3
https://movie.douban.com/subject/1291557/,花样年华,偷情本没有这样美。,156,8.7
https://movie.douban.com/subject/1297518/,九品芝麻官,,157,8.7
https://movie.douban.com/subject/10533913/,头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,158,8.8
https://movie.douban.com/subject/1302467/,黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,159,8.8
https://movie.douban.com/subject/1417598/,电锯惊魂,真相就在眼前。,160,8.8
https://movie.douban.com/subject/1293181/,惊魂记,故事的反转与反转，分裂电影的始祖。,161,9.0
https://movie.douban.com/subject/26611804/,三块广告牌,怼天怼地，你走后，她与世界为敌。,162,8.7
https://movie.douban.com/subject/26683290/,你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,163,8.5
https://movie.douban.com/subject/1828115/,色，戒,假戏真情，爱欲深海,164,8.6
https://movie.douban.com/subject/1793929/,达拉斯买家俱乐部,Jared Leto的腿比女人还美！,165,8.8
https://movie.douban.com/subject/1291822/,卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,166,8.9
https://movie.douban.com/subject/1461403/,茶馆,,167,9.5
https://movie.douban.com/subject/1907966/,疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,168,8.7
https://movie.douban.com/subject/1292208/,上帝之城,被上帝抛弃了的上帝之城。,169,9.0
https://movie.douban.com/subject/25917973/,心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,170,8.7
https://movie.douban.com/subject/1578507/,谍影重重3,像吃了苏打饼一样干脆的电影。,171,8.8
https://movie.douban.com/subject/1297574/,英雄本色,英雄泪短，兄弟情长。 ,172,8.6
https://movie.douban.com/subject/1291585/,风之谷,动画片的圣经。,173,8.9
https://movie.douban.com/subject/1295409/,纵横四海,香港浪漫主义警匪动作片的巅峰之作。,174,8.8
https://movie.douban.com/subject/25895901/,海街日记,是枝裕和的家庭习作。,175,8.8
